2025-10-01 14:14:32,母婴亲子,babycare**店,bei***@xier-inc.com,babycare皇室狮子王国纸尿裤拉拉裤超薄透气婴儿宝宝尿不湿mini装,支出,293.94,中信银行信用卡(6428),交易成功,2025000000001020AP	,	,,
2025-09-28 19:29:53,充值缴费,温州市供电局,/,电费自动缴费-示例小区-根据每期出账后自动缴费,支出,105.20,中信银行信用卡(6428),交易成功,2025000000001064AP,,
2025-09-20 17:00:00,收入,温州示例科技,tech***@163.com,项目结算-验收尾款,收入,6000.00,,交易成功,2025000000001026IN,,
2025-09-16 08:20:42,文化休闲,知乎,zhi***@zhihu.com,自动续费盐选会员月卡,支出,19.00,中信银行信用卡(6428),交易成功,2025000000001053AP,,
2025-09-08 15:30:00,家居家装,华为全屋智能,360***@360.cn,尾款支付,支出,16000.00,中信银行信用卡(6428),交易成功,2025000000001017AP,,
2025-09-05 08:30:00,医疗健康,温州南浦医院,/,产检挂号-医院,支出,35.00,中信银行信用卡(6428),交易成功,2025000000001021AP,,
2025-09-04 17:30:50,生活服务,美团,it_***@meituan.com,黄太牛牛杂（温州店）-美团外卖App-2509041110040000130678637xx,支出,30.90,中信银行信用卡(6428),交易成功,2025000000001075AP	,	,,
2025-09-04 17:03:40,运动户外,li**店,abi***@hzglj.net.cn,【活动价】李宁游泳裤男士防尴尬泳衣2024新款成人泳帽泳镜三件套装备青少年,支出,79.00,账户余额,交易成功,2025010000001001AP	,T200P2281130943858476065	,,
2025-08-28 19:29:53,充值缴费,温州市供电局,/,电费自动缴费-示例小区-根据每期出账后自动缴费,支出,98.50,中信银行信用卡(6428),交易成功,2025000000001063AP,,
2025-08-26 22:45:21,医疗健康,沃朗**店,wla***@163.com,【优惠价】沃朗森非牙膏含氟防蛀抗敏成人专用龋齿修复医用口腔脱敏官方旗舰 等多件,支出,230.10,中信银行信用卡(6428),交易成功,2025082622001174561444202973	,T200P2897259170388476065	,,
2025-08-20 11:00:00,母婴亲子,母婴旗舰店,baby***@taobao.com,宝宝待产用品-新生儿,支出,168.00,花呗,交易成功,2025000000001019AP,,
2025-08-16 08:20:42,文化休闲,知乎,zhi***@zhihu.com,自动续费盐选会员月卡,支出,19.00,中信银行信用卡(6428),交易成功,2025000000001052AP,,
2025-08-03 17:02:43,交通出行,小桔充电,/,充电订单,支出,42.76,余额宝,交易成功,2025000000001072AP,,
2025-07-28 10:00:00,家居家装,温州室迈设计有限公司,deco***@163.com,装修尾款,支出,44000.00,中信银行信用卡(6428),交易成功,2025000000001016AP,,
2025-07-26 11:41:32,餐饮美食,饿了么,wul***@service.alibaba.com,外卖-袁记云饺,支出,2.00,余额宝,交易成功,2025000000001077AP,,
2025-07-26 11:41:32,餐饮美食,饿了么,wul***@service.alibaba.com,顾客打赏-#8袁记云饺(龙湾海城店),支出,2.00,余额宝,交易成功,2024072622001474561458838187	,24072630613696251611	,,
2025-07-16 08:20:42,文化休闲,知乎,zhi***@zhihu.com,自动续费盐选会员月卡,支出,19.00,中信银行信用卡(6428),交易成功,2025000000001051AP,,
2025-07-10 10:38:22,爱车养车,龟湖湖萃湾停车场,/,龟湖湖萃湾停车场,支出,29.99,中信银行信用卡(6428)&红包,交易成功,20241110220014AP	,,,
2025-07-05 11:30:00,收入,温州示例科技,tech***@163.com,项目结算-接口联调,收入,8500.00,,交易成功,2025000000001025IN,,
2025-06-23 00:03:02,服饰装扮,fetchidea,fet***@163.com,MF工作室 夏季基础短袖蓝色T恤男 日系宽松小标短TEE打底衫潮牌 等多件,支出,118.80,中信银行信用卡(6428),交易成功,2025200000001001AP	,T200P2716574042451476065	,,
2025-06-16 08:20:42,文化休闲,知乎,zhi***@zhihu.com,自动续费盐选会员月卡,支出,19.00,中信银行信用卡(6428),交易成功,2025000000001050AP,,
2025-06-06 17:48:58,医疗健康,温州市瑞兴大药房有限公司,/,温州市瑞兴大药房有限公司(温州市瑞兴大药房有限公司7,支出,23.00,余额宝,交易成功,2025000000001067AP	,	,,
2025-06-01 22:00:00,投资理财,余额宝,jry***@xqfunds.com,余额宝-自动转入,不计收支,50.00,余额宝,交易成功,2025000000001084AP,,
2025-05-25 16:36:00,公共服务,瑞安市财政局（瑞安市人民政府国有资产监督管理办公室）,raf***@163.com,执收单位：瑞安市公安局交通警察大队，缴款单号：33000002126052533951AP,支出,150.00,中国银行储蓄卡(0814),交易成功,202505252200147AP	,	,,
2025-05-16 08:20:42,文化休闲,知乎,zhi***@zhihu.com,自动续费盐选会员月卡,支出,19.00,中信银行信用卡(6428),交易成功,2025000000001049AP,,
2025-05-10 19:03:16,爱车养车,P云停车平台,app***@660pp.com,停车支付,支出,9.92,中信银行信用卡(6428)&红包,交易成功,2025000000001073AP,,,
2025-05-09 16:36:00,公共服务,瑞安市财政局（瑞安市人民政府国有资产监督管理办公室）,raf***@163.com,执收单位：瑞安市公安局交通警察大队，缴款单号：33000002126052533AP,支出,50.00,中国银行储蓄卡(0814),交易成功,20250525220014745614AP	,	,,
2025-05-06 22:30:44,母婴亲子,婧麒**店,joy***@163.com,【38价】婧麒孕妇哺乳内衣怀孕期专用产后喂奶母乳舒适文胸聚拢防下垂胸罩 等多件,支出,132.99,花呗&优惠,交易成功,20250300000001001AP	,T200P2078081185785476065	,,
2025-04-28 13:16:11,充值缴费,国家税务总局浙江省税务局,/,社保费缴纳,支出,580.00,中信银行信用卡(6428),交易成功,2025000000001044AP,,
2025-04-16 08:20:42,文化休闲,知乎,zhi***@zhihu.com,自动续费盐选会员月卡,支出,19.00,中信银行信用卡(6428),交易成功,2025000000001048AP,,
2025-04-10 16:00:00,收入,温州示例科技,tech***@163.com,项目结算-后台模块开发,收入,12000.00,,交易成功,2025000000001024IN,,
2025-03-20 19:05:13,餐饮美食,美团,it_***@meituan.com,美团外卖App-加班晚餐,支出,345.80,余额宝,交易成功,2025000000001059AP,,
2025-03-16 18:49:35,爱车养车,瑞安倍耐力,/,更换轮胎-四条,支出,6500.00,中信银行信用卡(6428),交易成功,2025000000001068AP,,
2025-03-16 08:20:42,文化休闲,知乎,zhi***@zhihu.com,自动续费盐选会员月卡,支出,19.00,中信银行信用卡(6428),交易成功,2025000000001047AP,,
2025-03-05 05:04:32,投资理财,余额宝,jry***@xqfunds.com,转账收款到余额宝,不计收支,200.00,余额宝,交易成功,2025000000001083AP,,
2025-03-01 14:12:35,住房物业,浙江云岚物业服务有限公司,/,客户扫码付款,支出,4000.00,中信银行信用卡(6428),交易成功,2025000000001035AP,,
2025-02-28 21:43:08,投资理财,中国人民财产保险股份有限公司,cai***@picc.com.cn,蚂蚁保车险服务-浙CXXXXXX,支出,855.00,中信银行信用卡(6428),交易成功,2025000000001004AP,25022867290315210887,
2025-02-20 19:00:00,文化休闲,亲戚,/,答谢宴-礼金,支出,200.00,余额宝,交易成功,2025000000001012AP,,
2025-02-16 08:20:42,文化休闲,知乎,zhi***@zhihu.com,自动续费盐选会员月卡,支出,19.00,中信银行信用卡(6428),交易成功,2025000000001046AP,,
2025-02-15 09:25:22,交通出行,阿斯**服,asl***@service.taobao.com,机票订单付款-蜜月旅行,支出,840.00,中信银行信用卡(6428),交易成功,2025000000001011AP,T1400P3249045588365476065,
2025-02-03 13:18:18,文化休闲,杭州淘票票科技有限公司,dyz***@service.alibaba.com,《哪吒之魔童闹海》金幕影城(温州店）电影票,支出,121.00,云闪付-中信银行(6428),交易成功,2025000000001081AP	,11130600725020333869566476560	,,
2025-01-21 09:51:03,医疗健康,温州美年大健康管理有限公司,/,年度体检,支出,824.00,中信银行信用卡(6428),交易成功,2025000000001040AP,,
2025-01-19 10:00:00,转账红包,同学A,/,礼金-送给同学A,支出,600.00,余额宝,交易成功,2025000000001008AP,,
2025-01-19 10:00:00,转账红包,同事B,/,礼金-送给同事B,支出,800.00,余额宝,交易成功,2025000000001009AP,,
2025-01-19 10:00:00,转账红包,朋友C,/,礼金-送给朋友C,支出,1000.00,余额宝,交易成功,2025000000001010AP,,
2025-01-19 07:44:48,生活服务,美团,it_***@meituan.com,温粥人（温州店）-美团外卖App-25011911100400001306945043921800,支出,250.00,中信银行信用卡(6428),交易成功,2025011922001474561417093727	,20250119074441U32687972188315925	,,
2025-01-18 18:00:00,酒店旅游,温州示例酒店,hotel***@163.com,婚礼酒席尾款-2025年1月18日,支出,8800.00,中信银行信用卡(6428),交易成功,2025000000001007AP,,
2025-01-16 08:20:42,文化休闲,知乎,zhi***@zhihu.com,自动续费盐选会员月卡,支出,2.90,中信银行信用卡(6428),交易成功,2025000000001045AP,,
2025-01-15 16:20:00,家居家装,建材示例店,mat***@taobao.com,阳台封窗材料-装修,支出,3500.00,花呗,交易成功,2025000000001015AP,,
2025-01-12 14:30:00,爱车养车,温州示例4S店,auto***@163.com,轻微事故钣金维修-右前门,支出,1500.00,中信银行信用卡(6428),交易成功,2025000000001003AP,T200P250112001,
2025-01-08 15:30:00,家居家装,华为全屋智能,360***@360.cn,全屋智能大定,支出,80000.00,中信银行信用卡(6428),交易成功,20250000000501017AP,,
2025-01-06 20:43:22,家居家装,温州室迈设计有限公司,deco***@163.com,装修硬装施工款,支出,67000.00,中信银行信用卡(6428),交易成功,2025000000001014AP,,
2024-12-18 15:30:00,文化休闲,温州示例摄影,photo***@126.com,婚纱照拍摄-婚礼礼金套餐,支出,1200.00,中信银行信用卡(6428),交易成功,2025000000001006AP,,
2024-12-05 11:00:00,酒店旅游,温州示例酒店,hotel***@163.com,婚礼酒席定金-2025年1月,支出,800.00,中信银行信用卡(6428),交易成功,2025000000001005AP,,
2024-11-10 14:00:00,家居家装,温州室迈设计有限公司,deco***@163.com,装修设计费 ,支出,10000.00,中信银行信用卡(6428),交易成功,2025000000001013AP,,
2024-09-25 16:15:44,住房物业,上海自如企业管理有限公司,shz***@ziroom.com,自如网支付,支出,1828.64,中信银行信用卡(6428),交易成功,2025000000001030AP	,34000163255774011784506476310000	,,
2024-02-18 09:15:30,投资理财,中国人民财产保险股份有限公司,cai***@picc.com.cn,蚂蚁保财产保险-车险续保2024,支出,8000.00,中信银行信用卡(6428),交易成功,2025000000001002AP,24021867290315210886,
2024-03-01 14:12:35,住房物业,浙江云岚物业服务有限公司,/,客户扫码付款,支出,4000.00,中信银行信用卡(6428),交易成功,2024000000001035AP,,
2024-01-21 09:51:03,医疗健康,温州美年大健康管理有限公司,/,年度体检,支出,824.00,中信银行信用卡(6428),交易成功,2025000000001039AP,,
2023-09-25 16:15:44,住房物业,上海自如企业管理有限公司,shz***@ziroom.com,自如网支付,支出,1828.64,中信银行信用卡(6428),交易成功,2025000000001031AP	,34000163255774011784506476310000	,,
2023-02-15 10:20:00,投资理财,中国人民财产保险股份有限公司,cai***@picc.com.cn,蚂蚁保车险服务-浙CXXXXXX-2023年度,支出,8000.00,中信银行信用卡(6428),交易成功,2025000000001001AP,23021567290315210885,
2023-01-21 09:51:03,医疗健康,温州美年大健康管理有限公司,/,年度体检,支出,824.00,中信银行信用卡(6428),交易成功,2025000000001038AP,,
